x,y,psi,phi
-0.253092497853,-0.722233008719,1.5707963267948966,0.0
-0.253092497853,-0.7220580087189999,1.5705129183546476,-0.398532075230871
-0.2530924482565236,-0.721883008726028,1.5702295865411677,-0.39843537038303345
-0.2530923490769845,-0.7217080087541324,1.5699463312558783,-0.3983387820851727
-0.2530922003277831,-0.7215330088173505,1.5696631524002331,-0.39824231032749857
-0.2530920020223065,-0.7213580089297078,1.569380049875718,-0.39814595510037143
-0.2530917541739285,-0.7211830091052188,1.5690970235838513,-0.39804971639430153
-0.2530914567960097,-0.7210080093578866,1.568814073426183,-0.397953594199951
-0.25309110990189737,-0.7208330097017027,1.5685311993042954,-0.3978575885081317
-0.2530907135049255,-0.7206580101506478,1.568248401119802,-0.39776169930980676
-0.2530902676184148,-0.7204830107186909,1.5679656787743477,-0.39766592659609024
-0.25308977225567275,-0.7203080114197902,1.567683032169609,-0.3975702703582471
-0.25308922742999346,-0.7201330122678923,1.5674004612072934,-0.3974747305876938
-0.2530886331546578,-0.7199580132769329,1.5671179657891396,-0.39737930727599813
-0.25308798944293337,-0.7197830144608363,1.566835545816917,-0.39728400041487877
-0.2530872963080745,-0.7196080158335157,1.5665532011924252,-0.39718880999620687
-0.25308655376332223,-0.7194330174088734,1.566270931817495,-0.39709373601200415
-0.25308576182190423,-0.7192580192008003,1.5659887375939872,-0.3969987784544451
-0.253084920497035,-0.7190830212231765,1.5657066184237924,-0.3969039373158554
-0.2530840298019157,-0.7189080234898706,1.565424574208832,-0.3968092125887128
-0.25308308974973415,-0.7187330260147405,1.5651426048510564,-0.396714604265648
-0.2530821003536649,-0.7185580288116331,1.5648607102524463,-0.39662011233944283
-0.25308106162686933,-0.7183830318943841,1.5645788903150115,-0.39652573680303194
-0.2530799735824954,-0.7182080352768184,1.5642971449407914,-0.3964314776495028
-0.2530788362336778,-0.7180330389727498,1.5640154740318544,-0.3963373348720951
-0.2530776495935379,-0.7178580429959813,1.5637338774902978,-0.3962433084642014
-0.2530764136751839,-0.7176830473603049,1.563452355218248,-0.39614939841936714
-0.25307512849171054,-0.7175080520795015,1.5631709071178599,-0.3960556047312904
-0.2530737940561994,-0.7173330571673415,1.5628895330913168,-0.39596192739382285
-0.2530724103817187,-0.7171580626375844,1.5626082330408306,-0.39586836640096923
-0.2530709774813233,-0.7169830685039785,1.5623270068686412,-0.3957749217468871
